Todos los juegos que podemos ingresar en nuestro nintendo Switch son los siguientes:

Mario Kart 8 Deluxe                      7168 MB
Snipperclips: Cut it Out, Together       1,60 GB
Disgaea 5                                5,92 GB
Puyo Puyo Tetris                         1,09 GB
I Am Setsuna                             1,40 GB
Nobunaga’s Ambition                      5 GB
Air Conflicts: Secret Wars               1572864 KB
Air Conflicts: Pacific Carriers          1,4 GB
Block-a-Pix Deluxe                       84,0 MB
Cuphead                                  3,3 GB
Gems of War                              458 MB
Inferno Climber: Reborn                  1,7 GB
Istanbul: Digital Edition                330 MB

Haciendo un total de 29,26GB.
